,open,close,high,low,volume
2015-06-24,12.8322,12.8536,12.8751,12.5604,190736667.0
2015-06-25,12.8751,12.496,13.0181,12.3744,192558998.0
2015-06-26,12.3386,11.5447,12.8393,11.2442,289840426.0
2015-06-29,11.981,10.8008,11.981,10.4288,283281187.0
2015-06-30,10.8079,11.6233,11.6519,10.1999,291909492.0
2015-07-01,11.4374,10.7936,11.7235,10.7292,224016994.0
2015-07-02,11.2013,10.529,11.2299,10.0283,232353275.0
2015-07-03,10.6577,9.7493,10.6935,9.5705,222618552.0
2015-07-06,10.7221,10.3001,10.7221,9.6992,299262264.0
2015-07-07,10.0139,10.3001,10.3001,9.2701,401810323.0
2015-07-08,9.3559,9.2701,9.642,9.2701,504065599.0
2015-07-09,9.2701,10.1999,10.1999,8.6621,301510863.0
2015-07-10,10.2643,11.2156,11.2228,10.0211,395031485.0
2015-07-13,10.9939,11.3229,11.8451,10.858,396680583.0
2015-07-14,10.9939,10.6005,11.1298,10.5146,267342478.0
2015-07-15,10.4002,9.6492,10.6935,9.6277,187390572.0
2015-07-16,9.6492,9.7779,10.0497,9.4489,148236066.0
2015-07-17,9.8351,10.1999,10.3644,9.7779,160053039.0
2015-07-20,10.1928,10.0998,10.343,9.9996,148610502.0
2015-07-21,9.9782,10.1713,10.3501,9.8709,162238529.0
2015-07-22,10.157,10.0283,10.2571,9.9353,117759232.0
2015-07-23,10.0783,10.2786,10.3001,10.0354,158639782.0
2015-07-24,10.2858,10.0068,10.3287,9.9281,159694813.0
2015-07-27,9.8351,9.0054,9.9281,9.0054,178602106.0
2015-07-28,8.8194,9.5991,9.9067,8.3473,322338933.0
2015-07-29,9.549,9.7278,10.0139,9.3058,135969648.0
2015-07-30,9.6563,9.3487,9.8208,9.3487,96104354.0
2015-07-31,9.2629,9.4846,9.5061,9.1628,92573292.0
2015-08-03,9.3416,9.7135,9.7135,9.2844,109670246.0
2015-08-04,9.6635,9.8637,9.9067,9.5204,117910035.0
2015-08-05,9.8494,9.5347,9.8494,9.5133,75917151.0
2015-08-06,9.363,9.3273,9.5347,9.2987,57746435.0
2015-08-07,9.4131,9.4489,9.6134,9.3773,64752392.0
2015-08-10,9.5133,9.9424,10.157,9.4274,170233333.0
2015-08-11,9.8566,9.7922,9.9496,9.7636,112719442.0
2015-08-12,9.6921,9.7278,9.9925,9.6635,97382030.0
2015-08-13,9.642,9.7564,9.8137,9.5204,86146191.0
2015-08-14,9.8637,9.8566,9.971,9.735,120729594.0
2015-08-17,9.8423,9.7493,9.8494,9.6205,75978918.0
2015-08-18,9.8065,9.1485,10.1427,8.9982,181820520.0
2015-08-19,8.9839,9.22,9.2557,8.6692,107662862.0
2015-08-20,9.3344,9.2128,9.5776,9.1198,122723415.0
2015-08-21,9.0126,8.6335,9.2486,8.5905,92002813.0
2015-08-24,8.3688,7.768,8.4832,7.768,105474504.0
2015-08-25,7.0098,6.9883,7.2601,6.9883,109637757.0
2015-08-26,6.9883,6.4375,7.3173,6.3517,149229863.0
2015-08-27,6.6521,6.7737,6.8095,6.2945,132370168.0
2015-08-28,6.8667,7.1242,7.2029,6.7165,158309834.0
2015-08-31,7.0098,6.7165,7.0098,6.6092,120607950.0
2015-09-01,6.7093,6.7093,6.9311,6.3589,135672751.0
2015-09-02,6.4375,6.4518,6.8309,6.3517,96281955.0
2015-09-07,6.5448,6.5305,6.7093,6.4948,85769859.0
2015-09-08,6.4375,6.6879,6.7022,6.3732,79173574.0
2015-09-09,6.7237,6.9597,7.0384,6.6593,175292497.0
2015-09-10,6.8309,6.7594,6.9168,6.7451,98411522.0
2015-09-11,6.7737,6.8095,6.9025,6.695,65887621.0
2015-09-14,6.8596,6.2802,6.8596,6.13,122533412.0
2015-09-15,6.1514,5.8152,6.2873,5.7652,86003680.0
2015-09-16,5.8295,6.3016,6.3875,5.8224,93594658.0
2015-09-17,6.2659,6.1157,6.4161,6.1085,92375003.0
2015-09-18,6.1729,6.3088,6.3875,6.1228,86676222.0
2015-09-21,6.2015,6.3875,6.4089,6.1586,58974192.0
2015-09-22,6.4161,6.5949,6.8166,6.3875,120351257.0
2015-09-23,6.459,6.3517,6.552,6.3302,68162506.0
2015-09-24,6.4018,6.4018,6.4733,6.2945,47639160.0
2015-09-25,6.3803,6.1371,6.4018,6.0799,55809861.0
2015-09-28,6.0942,6.1872,6.2015,6.0513,35525755.0
2015-09-29,6.0942,6.13,6.2802,5.944,56914067.0
2015-09-30,6.1157,6.1371,6.2945,6.1014,46200418.0
2015-10-08,6.4375,6.366,6.5019,6.3374,69689827.0
2015-10-09,6.366,6.4948,6.5591,6.3374,79952153.0
2015-10-12,6.5091,6.7952,6.9239,6.4661,157061507.0
2015-10-13,6.6378,6.7308,6.7666,6.6164,86566010.0
2015-10-14,6.7022,6.6521,6.8381,6.6378,96771787.0
2015-10-15,6.6521,6.8023,6.8166,6.6235,100824762.0
